"","uniqueID","year","month","day","hour","xm","ym","dateF","start","leapYear","dayOfYear","dayD","dist","daysToFindFrom","daysToFind","rID","distX","distY","dist2X","dist2Y"
"68795","M8","2008","Apr",17,0,1805.7,495.545,17-04-08,"noStart",TRUE,105,16,4.10216832906692,470,470,112,4.02099999999996,-0.812000000000012,4.02099999999996,-0.812000000000012
"68939","M8","2008","May",3,1,1805.593,495.132,03-05-08,"noStart",TRUE,121,16,0.42663567595784,486,486,113,-0.106999999999971,-0.413000000000011,-0.106999999999971,-0.413000000000011
"69082","M8","2008","May",19,1,1805.906,495.267,19-05-08,"noStart",TRUE,137,16,0.340872410147725,502,502,114,0.312999999999874,0.134999999999991,0.312999999999874,0.134999999999991
"69218","M8","2008","Jun",4,0,1805.844,495.136,04-06-08,"noStart",TRUE,153,16,0.144931018074048,518,518,115,-0.0619999999998981,-0.130999999999972,-0.0619999999998981,-0.130999999999972
"69357","M8","2008","Jun",20,1,1805.81,495.245,20-06-08,"noStart",TRUE,169,16,0.114179682956308,534,534,116,-0.0340000000001055,0.10899999999998,-0.0340000000001055,0.10899999999998
"69494","M8","2008","Jul",6,1,1805.766,495.27,06-07-08,"noStart",TRUE,185,16,0.0506063237153949,550,550,117,-0.043999999999869,0.0249999999999773,-0.043999999999869,0.0249999999999773
"69608","M8","2008","Jul",22,0,1806.144,495.045,22-07-08,"noStart",TRUE,201,16,0.439896578754519,566,566,118,0.377999999999929,-0.224999999999966,0.377999999999929,-0.224999999999966
"69719","M8","2008","Aug",7,1,1806.191,494.978,07-08-08,"noStart",TRUE,217,16,0.0818413098624611,582,582,119,0.0470000000000255,-0.0670000000000073,0.0470000000000255,-0.0670000000000073
"69826","M8","2008","Aug",23,1,1806.124,494.918,23-08-08,"noStart",TRUE,233,16,0.0899388681271965,598,598,120,-0.0670000000000073,-0.0600000000000023,-0.0670000000000073,-0.0600000000000023
"69910","M8","2008","Sep",8,0,1807.751,494.946,08-09-08,"noStart",TRUE,249,16,1.62724091639801,614,614,121,1.62699999999995,0.02800000000002,1.62699999999995,0.02800000000002
"70003","M8","2008","Sep",24,1,1806.684,498.064,24-09-08,"noStart",TRUE,265,16,3.29551407218965,630,630,122,-1.06700000000001,3.11799999999999,-1.06700000000001,3.11799999999999
"70060","M8","2008","Oct",10,16,1804.392,496.834,10-10-08,"noStart",TRUE,281,16,2.60118511451985,646,646,123,-2.29199999999992,-1.23000000000002,-2.29199999999992,-1.23000000000002
"70108","M8","2008","Oct",26,20,1804.781,497.949,26-10-08,"noStart",TRUE,297,16,1.18090897193642,662,662,124,0.388999999999896,1.11500000000001,0.388999999999896,1.11500000000001
